,timestamp,close,volume,ret,rw_mean,rw_std,zscore,ema_fast,ema_slow,mom,ret_sign,ret_sign_sum,ret_lag1,ret_lag2,ret_lag3,labels,weights,t1
243,2025-10-28 14:45:02.798,25695.258239999996,0.07273,-5.6651421638989975e-05,-2.1979654905229972e-05,3.948978905528273e-05,-0.8779932019977176,114758.02712797928,114778.05933394622,-20.032205966941547,-1.0,-6.0,-8.715356072477142e-08,0.0,0.0,-1.0,0.8115664821322207,245.0
244,2025-10-28 14:45:03.018,25694.369440000024,0.27342,-4.17497940134926e-05,-2.2399075028352323e-05,3.9826745350601796e-05,-0.48587245622320047,114755.69121102887,114776.5983721775,-20.907161148628802,-1.0,-7.0,-5.6651421638989975e-05,-8.715356072477142e-08,0.0,-1.0,0.811602643312464,246.0
245,2025-10-28 14:45:03.020,25694.114,0.45489,-3.408097788852107e-05,-2.4486564729026955e-05,3.9684812657342876e-05,-0.24176535354944503,114753.12157188325,114775.0282616143,-21.906689731040387,-1.0,-7.0,-4.17497940134926e-05,-5.6651421638989975e-05,-8.715356072477142e-08,-1.0,0.8116904820919275,247.0
253,2025-10-28 14:45:05.429,25687.174,0.05107,-3.3136204888687324e-06,-3.2088166583151206e-05,4.5333549363742364e-05,0.634729619707028,114719.42497891252,114756.12208738594,-36.69710847342503,-1.0,-12.0,-1.8224716421965467e-05,-5.493509658205459e-06,-5.0486556569879544e-05,-1.0,0.8121105626221143,254.0
254,2025-10-28 14:45:05.588,25673.09808000001,0.05784,-0.00012723389133844666,-3.2253847607594644e-05,4.521600690289433e-05,-2.1005845005878254,114715.47974282561,114753.56070747164,-38.08096464602568,-1.0,-13.0,-3.3136204888687324e-06,-1.8224716421965467e-05,-5.493509658205459e-06,-1.0,0.8122014799460091,261.0
259,2025-10-28 14:45:05.987,25680.313840000003,0.0507600000000001,-3.7414553210365746e-05,-3.6310518324520596e-05,4.9918674039873584e-05,-0.02211666090682896,114694.97871931932,114739.71974853572,-44.7410292163986,0.0,-14.0,0.0,0.0,0.0,-1.0,0.812246506358358,260.0
260,2025-10-28 14:45:06.054,25673.767840000015,0.05347,-7.954328205356828e-05,-3.526168706593843e-05,4.964996885797457e-05,-0.8918755743392139,114691.56360319366,114737.07713382963,-45.51353063597344,-1.0,-14.0,-3.7414553210365746e-05,0.0,0.0,-1.0,0.8123218041267907,264.0
261,2025-10-28 14:45:06.391,25672.654639999993,0.06527,-6.192952335008549e-05,-3.9238851168616844e-05,4.9862117852649526e-05,-0.4550683496818567,114687.60516479427,114734.22214583521,-46.6169810409483,-1.0,-14.0,-7.954328205356828e-05,-3.7414553210365746e-05,0.0,-1.0,0.812370701971411,264.0
264,2025-10-28 14:45:06.953,25667.766800000012,0.05015,-0.00010380675065485284,-3.987347772437882e-05,4.9691206683925294e-05,-1.2866113886150377,114675.92734319446,114725.50241557439,-49.575072379928315,-1.0,-16.0,-7.4143555794135245e-06,-8.72273854553199e-08,-6.192952335008549e-05,1.0,0.8124259938980178,294.0
265,2025-10-28 14:45:06.957,25667.439360000004,0.05371,-6.604065882361868e-05,-4.297632555644684e-05,5.171098526465877e-05,-0.446023850290569,114671.56664384261,114722.37577899818,-50.809135155563126,-1.0,-16.0,-0.00010380675065485284,-7.4143555794135245e-06,-8.72273854553199e-08,1.0,0.8124374021752601,284.0
